team,poss,to%,or%,dr%,d_fgm,d_fga,d_3pm,d_3pa,d_ftm,d_fta,o_fgm,o_fga,o_3pm,o_3pa,o_ftm,o_fta,o_foul%,d_foul%
Atlanta,99.8,14.2,23.6,76.1,38.8,87.3,10.9,30.5,15.6,20.2,38.1,84.4,8.9,26.1,18.1,24.9,21.4,18.1
Boston,99.3,12.2,21.2,75.3,38.6,85.8,9.0,27.0,19.1,24.9,38.6,85.1,12.0,33.4,18.7,23.2,20,20.6
Brooklyn,103.6,14.7,19.6,76.1,41.6,90.8,10.0,27.2,19.3,25.0,37.8,85.2,10.7,31.6,19.4,24.6,19.4,20.1
Charlotte,97.8,10.7,19.9,79.6,39.5,86.5,11.6,31.4,14.2,18.2,37.7,85.4,10.0,28.6,19.4,23.8,20,16.7
Chicago,97.7,12.3,27.0,76.8,39.5,86.6,8.9,25.9,14.6,19.0,38.6,87.1,7.6,22.3,18.0,22.5,18.9,18
Cleveland,98.4,12.6,21.9,75.8,40.6,88.8,10.4,28.7,15.5,20.0,39.9,84.9,13.0,33.9,17.5,23.3,20.9,18.2
Dallas,94.2,11.6,18.1,77.6,37.0,79.0,9.6,25.3,17.2,22.3,36.2,82.3,10.7,30.2,14.8,18.5,20.4,20
Denver,100.7,13.2,27.3,78.7,42.1,88.4,9.9,26.3,17.1,21.9,41.2,87.7,10.6,28.8,18.7,24.2,19.8,18.8
Detroit,97.1,10.9,24.1,81.2,38.3,83.3,9.4,25.6,16.4,21.0,39.9,88.8,7.7,23.3,13.9,19.3,17.8,18.2
Golden State,102.2,13.2,22.8,74.9,38.8,89.2,9.0,27.8,17.7,23.2,43.1,87.1,12.0,31.2,17.8,22.6,19.1,19.1
Houston,102.5,13.3,24.6,75.8,41.2,88.9,10.0,29.1,17.3,22.2,40.3,87.2,14.4,40.3,20.3,26.5,19.6,19.4
Indiana,98.1,12.8,21.2,75.5,38.0,84.3,10.4,29.1,19.0,24.1,39.3,84.5,8.6,23.0,17.9,22.1,19.5,19.7
LA Clippers,98.2,12.1,21.5,76.9,38.6,85.4,9.2,26.3,18.0,23.4,39.5,83.2,10.3,27.4,19.3,26.0,22.5,20.1
LA Lakers,100.8,13.5,25.0,75.8,41.5,86.0,10.1,27.4,18.3,24.0,39.3,87.4,8.9,25.7,17.0,22.6,18.2,20.4
Memphis,94.7,12.1,24.8,77.5,34.9,78.8,9.9,28.0,20.2,26.9,36.4,83.6,9.4,26.5,18.3,23.4,21.5,23.3
Miami,97.6,12.4,24.2,76.4,37.9,84.2,7.8,22.7,18.5,23.7,39.0,85.8,9.9,27.0,15.2,21.6,18.9,20.7
Milwaukee,96.7,13.2,21.5,75.4,38.0,83.0,10.0,28.2,17.9,23.2,38.8,81.9,8.8,23.7,17.2,22.4,19.8,20.8
Minnesota,97.1,12.9,27.2,75.9,39.6,83.3,9.9,27.0,17.6,22.9,39.5,84.4,7.3,21.0,19.3,24.2,20.8,20.4
New Orleans,100.1,11.7,18.5,76.8,40.1,89.0,10.5,29.8,15.8,20.7,39.1,87.0,9.4,26.8,16.7,22.3,18.9,17.8
New York,98.6,12.5,26.6,74.1,39.7,87.3,9.8,28.2,18.7,24.2,39.6,88.5,8.6,24.7,16.6,21.1,18.4,20.3
Oklahoma City,100.5,13.2,28.0,79.0,39.2,85.3,8.8,24.8,18.6,24.3,39.5,87.4,8.4,25.8,19.2,25.8,20.4,20.6
Orlando,99.1,12.1,21.6,77.4,40.3,86.4,9.7,26.3,17.4,22.7,38.3,87.0,8.5,26.1,16.0,21.4,18.6,19.2
Philadelphia,100.9,14.9,22.4,75.3,39.6,85.9,8.9,24.9,20.1,26.0,37.7,85.2,10.1,29.8,17.0,22.0,19.1,21.3
Phoenix,102.9,13.3,26.0,76.4,40.2,86.2,10.1,26.3,22.8,29.1,39.9,88.5,7.5,22.6,20.4,26.3,21.2,23.7
Portland,99.1,12.5,23.0,76.8,39.2,86.2,9.3,25.1,20.8,26.5,39.5,86.1,10.4,27.7,18.5,23.7,19.5,20.9
Sacramento,97.1,13.7,21.0,76.3,38.5,83.2,10.9,30.0,18.9,24.2,37.9,82.1,9.0,23.9,18.1,23.3,20.3,20.6
San Antonio,96.4,12.6,24.0,77.6,37.0,83.4,8.1,23.7,16.0,20.8,39.3,83.7,9.2,23.5,17.6,22.0,20.5,18.8
Toronto,97.1,11.8,25.0,76.3,37.2,82.9,9.7,27.3,18.5,23.8,39.2,84.4,8.8,24.3,19.7,24.7,20.6,21.2
Utah,93.6,13.2,23.2,78.9,36.3,82.0,8.2,22.9,16.0,20.7,37.0,79.5,9.6,26.0,17.1,22.9,21.3,20.2
Washington,99.7,12.8,24.1,75.5,39.7,85.1,9.9,27.1,18.2,24.2,41.3,87.0,9.2,24.8,17.3,22.1,19.9,21.2
